Plot	Plot_bexis	Function_Name	Function_Year	Value	Year	Dataset_ID	Dataset_Version
AEW37	AEW37	aboveground_biomass	aboveground_biomass	129.8168812	4444	4444	4444
SEW27	SEW27	aboveground_biomass	aboveground_biomass	378.2008093	4444	4444	4444
SEW16	SEW16	aboveground_biomass	aboveground_biomass	218.7428628	4444	4444	4444
HEW06	HEW6	aboveground_biomass	aboveground_biomass	468.008641	4444	4444	4444
AEW46	AEW46	aboveground_biomass	aboveground_biomass	234.2973379	4444	4444	4444
AEW22	AEW22	aboveground_biomass	aboveground_biomass	292.974423	4444	4444	4444
SEW05	SEW5	aboveground_biomass	aboveground_biomass	340.2962234	4444	4444	4444
HEW45	HEW45	aboveground_biomass	aboveground_biomass	152.7986415	4444	4444	4444
AEW24	AEW24	aboveground_biomass	aboveground_biomass	129.6652764	4444	4444	4444
HEW15	HEW15	aboveground_biomass	aboveground_biomass	111.6875084	4444	4444	4444
SEW24	SEW24	aboveground_biomass	aboveground_biomass	288.1371055	4444	4444	4444
HEW24	HEW24	aboveground_biomass	aboveground_biomass	391.1591697	4444	4444	4444
AEW13	AEW13	aboveground_biomass	aboveground_biomass	383.7103804	4444	4444	4444
SEW13	SEW13	aboveground_biomass	aboveground_biomass	277.2196676	4444	4444	4444
AEW43	AEW43	aboveground_biomass	aboveground_biomass	211.5671842	4444	4444	4444
AEW23	AEW23	aboveground_biomass	aboveground_biomass	274.6597922	4444	4444	4444
HEW30	HEW30	aboveground_biomass	aboveground_biomass	288.3329481	4444	4444	4444
HEW13	HEW13	aboveground_biomass	aboveground_biomass	249.6155267	4444	4444	4444
AEW49	AEW49	aboveground_biomass	aboveground_biomass	189.2299637	4444	4444	4444
SEW02	SEW2	aboveground_biomass	aboveground_biomass	231.1588558	4444	4444	4444
AEW32	AEW32	aboveground_biomass	aboveground_biomass	151.3491043	4444	4444	4444
HEW12	HEW12	aboveground_biomass	aboveground_biomass	496.5810092	4444	4444	4444
HEW31	HEW31	aboveground_biomass	aboveground_biomass	281.2548822	4444	4444	4444
SEW41	SEW41	aboveground_biomass	aboveground_biomass	246.0576206	4444	4444	4444
AEW40	AEW40	aboveground_biomass	aboveground_biomass	311.5289605	4444	4444	4444
HEW51	HEW51	aboveground_biomass	aboveground_biomass	NA	4444	4444	4444
